,link,title,company,salary,salary from,salary to,plus VAT,is super,technologies,date,localization,add. info0,add. info1,add. info2,add. info3
0,"https://www.pracuj.pl/praca/serwisant-elektromechanik-izabelin-dziekanowek-pow-nowodworski-kolorowa-5,oferta,1002998399",Serwisant - Elektromechanik,SPIDERCRANE & SPIDERLIFT,7 000–8 000 zł brutto / mies.,7 000,8 000,False,False,,,Izabelin-Dziekanówek (pow. nowodworski),Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (2 wakaty)
1,"https://www.pracuj.pl/praca/kurier-kierowca-kat-b-szczecin,oferta,1002998372",Kurier - Kierowca kat. B,Mateusz Romanowski Transport,4 000–6 000 zł / mies. (zal. od umowy),4 000,6 000,False,False,,,Szczecin,Pracownik fizyczny,Pełny etat,"Umowa o pracę, Umowa zlecenie",Szukamy wielu kandydatów (2 wakaty)
2,"https://www.pracuj.pl/praca/elektryk-elektromonter-zakole-wiktorowo-pow-minski-graniczna-9,oferta,1002998303",Elektryk - Elektromonter,INSTALATORSTWO I POMIARY ELEKTRYCZNE WIESŁAW SITNICKI,50–60 zł brutto / godz.,50,60,False,True,,,Zakole-Wiktorowo (pow. miński),Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
3,"https://www.pracuj.pl/praca/elektromonter-bialobrzegi-pow-lancucki-3k,oferta,1003015174",Elektromonter,Elkomtel sp. z o.o.,,,,,True,,,Białobrzegi (pow. łańcucki),Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
4,"https://www.pracuj.pl/praca/elektryk-automatyk-krakow,oferta,1002975687",Elektryk - Automatyk,COGNOR S.A.,,,,,False,,,Kraków,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz
5,"https://www.pracuj.pl/praca/pomocnik-konserwatora-urzadzen-dzwigowych-warszawa,oferta,1002984236",Pomocnik Konserwatora Urządzeń Dźwigowych,Winda-Warszawa Sp. z o.o.,4 200–4 300 zł brutto / mies.,4 200,4 300,False,False,,,Warszawa,Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (3 wakaty)
6,"https://www.pracuj.pl/praca/elektryk-w-dziale-utrzymania-ruchu-ruda-slaska-kokotek-43,oferta,1002958758",Elektryk w dziale utrzymania ruchu,LEIBER Poland GmbH sp. z o.o. oddział w Polsce,,,,,True,,,Ruda Śląska,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
7,"https://www.pracuj.pl/praca/elektromonter-bydgoszcz,oferta,1002968005",Elektromonter,Pomorskie Przedsiębiorstwo Mechaniczno-Torowe Sp. z o.o.,,,,,True,,,Bydgoszcz,Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (5 wakatów)
8,"https://www.pracuj.pl/praca/technik-elektryk-technik-obiektu-poznan-gnieznienska-32b,oferta,1002971840",Technik Elektryk/ Technik Obiektu,Beiersdorf Manufacturing Poznań Sp. z o.o.,,,,,False,,,"Poznań, Nowe Miasto",Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
9,,Elektromechanik pojazdów ciężarowych,ESA Trucks Polska Sp. z o.o.,,,,,False,,,7 lokalizacji,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz
10,"https://www.pracuj.pl/praca/elektromonter-zabrze,oferta,1002987742",Elektromonter,MOSTOSTAL ZABRZE Elektro Sp. z o.o.,,,,,False,,,Zabrze,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
11,"https://www.pracuj.pl/praca/elektryk-konserwator-gdynia-hutnicza-35,oferta,1002998429",Elektryk Konserwator,Firma Budowlano-Drogowa MTM S.A.,4 000–65 000 zł brutto / mies.,4 000,65 000,False,False,,,Gdynia,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
12,"https://www.pracuj.pl/praca/elektromonter-sieci-pomocnik-elektromontera-chelmza,oferta,1003001744",Elektromonter Sieci / Pomocnik Elektromontera,ENERGA – OPERATOR S.A. Oddział w Toruniu,,,,,False,,,Chełmża,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
13,"https://www.pracuj.pl/praca/elektryk-elektromonter-keblowo-pow-wejherowski,oferta,1003001549",Elektryk - Elektromonter,EL PROFESSIONAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,,,,True,,,Kębłowo (pow. wejherowski),Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
14,"https://www.pracuj.pl/praca/pracownik-utrzymania-ruchu-jelcz-laskowice,oferta,1003001854",Pracownik Utrzymania Ruchu,Toyota Motor Manufacturing Poland Sp. z o.o.,7 327–8 044 zł brutto / mies.,7 327,8 044,False,False,,,Jelcz-Laskowice,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
15,"https://www.pracuj.pl/praca/elektryk-utrzymania-ruchu-niemce-pow-lubelski-ceramiczna-6,oferta,1003001884",Elektryk Utrzymania Ruchu,PPMB Niemce S.A.,,,,,False,,,Niemce (pow. lubelski),Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz
16,"https://www.pracuj.pl/praca/konserwator-budynku-pracownik-utrzymania-ruchu-warszawa-annopol-3,oferta,1002998168",Konserwator Budynku - Pracownik Utrzymania Ruchu,Essilor Optical Laboratory Polska Sp. z o.o.,,,,,False,,,"Warszawa, Białołęka",Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
17,"https://www.pracuj.pl/praca/elektryk-m-k-n-niemcy,oferta,10296016",Elektryk (m/k/n),DAKS Personal GmbH,18 000–25 000 zł brutto / mies.,18 000,25 000,False,True,,,"Wetzlar, Niemcy",Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (6 wakatów)
18,"https://www.pracuj.pl/praca/technik-serwisu-zabrze-wolnosci-318,oferta,1002998040",Technik Serwisu,Grupa Powen-Wafapomp SA,,,,,False,,,Zabrze,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca mobilna
19,"https://www.pracuj.pl/praca/technik-utrzymania-ruchu-wroclaw,oferta,1002967635",Technik Utrzymania Ruchu,Gi Group Poland S.A.,9 000 zł brutto / mies.,9 000,,False,True,,,Wrocław,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
20,,Product Trainer & Heavy Truck Expert for Linde&Still - Region EE/MEA (m/f/d),LINDE Material Handling Polska Sp. z o.o.,,,,,False,,,6 lokalizacji,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Запрошуємо працівників з України
21,"https://www.pracuj.pl/praca/technik-elektryk-wroclaw-zmigrodzka-143,oferta,1003015420",Technik - elektryk,ELE-INSTAL,,,,,False,,,"Wrocław, Psie Pole",Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (2 wakaty)
22,,Service Technician Entry Level,Vestas,,,,,False,,,2 lokalizacje,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca mobilna
23,"https://www.pracuj.pl/praca/elektryk-gliwice-anny-jagiellonki-47,oferta,1002975377",Elektryk,Cognor SA Oddział Ferrostal Łabędy w Gliwicach,,,,,False,,,Gliwice,Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (3 wakaty)
24,"https://www.pracuj.pl/praca/technik-utrzymania-ruchu-gdansk,oferta,1002967511",Technik Utrzymania Ruchu,Eagle Recruitment Group,8 000–10 000 zł brutto / mies.,8 000,10 000,False,True,,,Gdańsk,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
