,link,title,company,salary,salary from,salary to,plus VAT,is super,technologies,date,localization,add. info0,add. info1,add. info2,add. info3
0,"https://www.pracuj.pl/praca/full-stack-net-developer-goleniow-konstytucji-3-maja-1,oferta,1003015440",Full Stack .NET Developer,DKode,7 000–11 000 zł / mies. (zal. od umowy),7 000,11 000,False,False,,,Goleniów,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
1,"https://www.pracuj.pl/praca/senior-java-backend-developer-technical-leader-warszawa-plac-europejski-1,oferta,1003014976",Senior Java Backend Developer / Technical Leader,Samsung R&D Institute Poland,,,,,True,,,"Warszawa, Wola","Starszy specjalista (Senior), Ekspert",Pełny etat,Umowa o pracę,Praca hybrydowa
2,"https://www.pracuj.pl/praca/senior-fullstack-developer-java-angular-warszawa-encyklopedyczna-2a,oferta,1003012057","Senior Fullstack Developer (Java, Angular)",JellyTech,22 000–26 800 zł netto (+ VAT) / mies.,22 000,26 800,True,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Bielany",Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca od zaraz
3,"https://www.pracuj.pl/praca/fullstack-developer-warszawa-encyklopedyczna-2a,oferta,1003012068",Fullstack Developer,JellyTech,12 000–20 000 zł netto (+ VAT) / mies.,12 000,20 000,True,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Bielany",Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz
4,"https://www.pracuj.pl/praca/senior-frontend-developer-angular-warszawa-encyklopedyczna-2a,oferta,1003012073",Senior Frontend Developer (Angular),JellyTech,21 000–26 000 zł netto (+ VAT) / mies.,21 000,26 000,True,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Bielany","Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Kontrakt B2B,Praca od zaraz
5,"https://www.pracuj.pl/praca/fullstack-cms-developer-warszawa-encyklopedyczna-2a,oferta,1003012078",Fullstack CMS Developer,JellyTech,21 000–26 900 zł netto (+ VAT) / mies.,21 000,26 900,True,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Bielany","Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Kontrakt B2B,Praca od zaraz
6,"https://www.pracuj.pl/praca/fullstack-developer-krakow,oferta,1003009311",Fullstack Developer,ITDS Polska Sp. z o.o.,21 000–26 250 zł / mies. (zal. od umowy),21 000,26 250,False,True,,,Kraków,Starszy specjalista (Senior),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
7,"https://www.pracuj.pl/praca/senior-fullstack-developer-python-react-aws-warszawa,oferta,1002998101",Senior Fullstack Developer (Python/React/AWS),7N Sp. z o.o.,30 240–35 280 zł netto (+ VAT) / mies.,30 240,35 280,True,True,,,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,"Starszy specjalista (Senior), Ekspert",Pełny etat,Kontrakt B2B,Praca zdalna
8,"https://www.pracuj.pl/praca/senior-react-ui-developer-warszawa,oferta,1002998094",Senior React / UI Developer,7N Sp. z o.o.,26 880–30 240 zł netto (+ VAT) / mies.,26 880,30 240,True,True,,,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,"Starszy specjalista (Senior), Ekspert",Pełny etat,Kontrakt B2B,Praca zdalna
9,"https://www.pracuj.pl/praca/full-stack-net-developer-if-krakow-puszkarska-7j,oferta,1003000806",Full Stack .Net Developer (IF),VSoft S.A.,,,,,False,,,"Kraków, Podgórze Duchackie",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B","Praca zdalna, Praca hybrydowa"
