,link,title,company,salary,salary from,salary to,plus VAT,is super,technologies,date,localization,add. info0,add. info1,add. info2,add. info3
0,,Kierowca - Dostawca,PARHELION sp. z o.o.,27–30 zł / godz. (zal. od umowy),27,30,False,False,,,4 lokalizacje,Pracownik fizyczny,Pełny etat,"Umowa zlecenie, Kontrakt B2B",Szukamy wielu kandydatów (10 wakatów)
1,"https://www.pracuj.pl/praca/kierowca-miedzynarodowy-kat-c%2be-warszawa-wladyslawa-kamelskiego-9,oferta,1002971688",Kierowca międzynarodowy kat. C+E,MRF POLSKA sp. z o.o.,,,,,False,,,Warszawa,Pracownik fizyczny,Pełny etat,"Umowa o pracę, Umowa zlecenie, Kontrakt B2B",Szukamy wielu kandydatów
2,"https://www.pracuj.pl/praca/kierowca-kat-c%2be-turek,oferta,1002981412",Kierowca kat. C+E,F.H.U. DAVPOL DAWID JĘDRASIAK,,,,,False,,,Turek,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca mobilna
3,"https://www.pracuj.pl/praca/kierowca-krajowy-kat-c%2be-nowy-dwor-gdanski,oferta,1002987021",Kierowca krajowy kat. C+E,TRANSENTRY sp. z o.o.,,,,,False,,,Nowy Dwór Gdański,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
4,"https://www.pracuj.pl/praca/kierowca-miedzynarodowy-kat-c%2be-poznan-kurlandzka-10,oferta,1002995373",Kierowca międzynarodowy kat. C+E,HK AUTOMOTIVE sp. z o.o.,10 000–13 000 zł brutto / mies.,10 000,13 000,False,False,,,"Poznań, Nowe Miasto",Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
5,"https://www.pracuj.pl/praca/kierowca-legnica-nowodworska-66,oferta,1002986996",Kierowca,"EUKANA A.ALUK-ROWIŃSKI, P. MATIJCZAK sp.j.",,,,,False,,,Legnica,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
6,"https://www.pracuj.pl/praca/magazynier-kierowca-legnica-nowodworska-66,oferta,1002986995",Magazynier - Kierowca,"EUKANA A.ALUK-ROWIŃSKI, P. MATIJCZAK sp.j.",,,,,False,,,Legnica,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
7,,Kierowca Międzynarodowy C+E (możliwość przeszkolenia),SKAT Transport P.S.A,12 000–14 000 zł netto (+ VAT) / mies.,12 000,14 000,True,True,,,16 lokalizacji,Pracownik fizyczny,Pełny etat,Kontrakt B2B,Szukamy wielu kandydatów (10 wakatów)
8,,Kierowca C+E,TRANS POLONIA S.A.,8 000–10 000 zł / mies. (zal. od umowy),8 000,10 000,False,True,,,16 lokalizacji,Pracownik fizyczny,Pełny etat,"Umowa o pracę, Kontrakt B2B",Запрошуємо працівників з України
9,"https://www.pracuj.pl/praca/delivery-driver-canada,oferta,10321023",Delivery Driver,Clearport International Inc.,12 200–16 000 zł brutto / mies.,12 200,16 000,False,False,,,Kanada,Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (5 wakatów)
10,"https://www.pracuj.pl/praca/kierowca-autobusu-warszawa,oferta,1002965083",Kierowca Autobusu,RELOBUS Transport Polska Sp.z.o.o.,5 000–7 500 zł / mies. (zal. od umowy),5 000,7 500,False,True,,,Warszawa,Pracownik fizyczny,"Pełny etat, Część etatu","Umowa o pracę, Umowa zlecenie",Запрошуємо працівників з України
11,"https://www.pracuj.pl/praca/dostawca-sokolow-pow-pruszkowski,oferta,1002987584",Dostawca,RTV EURO AGD,,,,,True,,,Sokołów (pow. pruszkowski),Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów
12,"https://www.pracuj.pl/praca/technik-dostawca-sokolow-pow-pruszkowski,oferta,1002987583",Technik Dostawca,RTV EURO AGD,,,,,True,,,Sokołów (pow. pruszkowski),Pracownik fizyczny,Pełny etat,"Umowa o pracę, Umowa zlecenie",Szukamy wielu kandydatów
13,"https://www.pracuj.pl/praca/technik-dostawca-kierowca-katowice,oferta,1002995585",Technik Dostawca - Kierowca,RTV EURO AGD,,,,,True,,,Katowice,Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (5 wakatów)
14,"https://www.pracuj.pl/praca/przewoznik-zewnetrzny-b2b-kat-b-auto-wlasne-firmowe-wroclaw-bierutowska-81,oferta,1003009622",Przewoźnik Zewnętrzny B2B kat. B (auto własne/firmowe),Media Expert,,,,,True,,,"Wrocław, Psie Pole",Pracownik fizyczny,Pełny etat,Kontrakt B2B,Praca mobilna
15,"https://www.pracuj.pl/praca/kierowca-autobusu-kat-d-system-6-2-5-2-3-1-2-1-i-inne-niemcy,oferta,10296067","Kierowca Autobusu kat. D – System 6/2, 5/2, 3/1, 2/1 i inne",SAWI PERSONAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,10 000–16 500 zł brutto / mies.,10 000,16 500,False,True,,,"Berlin, Poczdam, Lipsk, Halle, Drezno, Hamburg, Hanower, Erfurt, Norymberga, Cottbus i inne miasta, Niemcy",Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów
16,"https://www.pracuj.pl/praca/kierowca-c%2be-system-2-1-2-2-3-1-4-1-4-2-niemcy,oferta,10296066","Kierowca C+E - System 2/1, 2/2, 3/1, 4/1, 4/2",SAWI PERSONAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,10 000–19 500 zł brutto / mies.,10 000,19 500,False,True,,,"Görlitz, Cottbus, Berlin, Lipsk, Drezno, Dortmund, Hamburg, Magdeburg, Hanower i inne miasta, Niemcy",Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów
17,"https://www.pracuj.pl/praca/kierowca-kat-c-swietochlowice-wojska-polskiego-82b,oferta,1003004470",Kierowca kat. C,MAX-BUD 1 TOMASZ WARCHALA,6 500–8 500 zł brutto / mies.,6 500,8 500,False,False,,,Świętochłowice,Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (2 wakaty)
18,"https://www.pracuj.pl/praca/magazynier-dostawca-piaseczno-jana-pawla-ii-66,oferta,1002975587",Magazynier - Dostawca,Auchan,4 665–5 015 zł brutto / mies.,4 665,5 015,False,True,,,Piaseczno,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
19,"https://www.pracuj.pl/praca/pizza-delivery-driver-and-in-store-employee-germany,oferta,10317517",Pizza Delivery Driver and In-Store Employee,blackwhitediner GmbH,10 200–11 500 zł brutto / mies.,10 200,11 500,False,True,,,"Vilseck, Niemcy",Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
20,"https://www.pracuj.pl/praca/kierowca-miedzynarodowy-kat-c%2be-krakow,oferta,1002986746",Kierowca międzynarodowy kat. C+E,GLOBMAN Paweł Skorupa,10 300–10 800 zł brutto / mies.,10 300,10 800,False,False,,,Kraków,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
21,"https://www.pracuj.pl/praca/technik-dostawca-kierowca-kielce,oferta,1002995099",Technik Dostawca - Kierowca,RTV EURO AGD,,,,,False,,,Kielce,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
22,"https://www.pracuj.pl/praca/technik-dostawca-kierowca-szczecin,oferta,1002995101",Technik Dostawca - Kierowca,RTV EURO AGD,,,,,False,,,Szczecin,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
23,"https://www.pracuj.pl/praca/technik-dostawca-kierowca-gdansk,oferta,1002995093",Technik Dostawca - Kierowca,RTV EURO AGD,,,,,True,,,Gdańsk,Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (5 wakatów)
24,"https://www.pracuj.pl/praca/pracownik-techniczny-kierowca-do-3-5-t-szczecin-szczawiowa-53d,oferta,1002995086","Pracownik techniczny / Kierowca do 3,5 T",Boels Polska Sp. z o.o.,,,,,False,,,Szczecin,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
25,"https://www.pracuj.pl/praca/dostawca-bydgoszcz-mokra-30,oferta,1002990254",Dostawca,RTV EURO AGD,,,,,True,,,Bydgoszcz,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
26,"https://www.pracuj.pl/praca/magazynier-kierowca-konin-spoldzielcow-6,oferta,1003004278",Magazynier - Kierowca,ARGO A & G Spółka z ograniczoną odpowiedzialnością,4 500 zł brutto / mies.,4 500,,False,False,,,Konin,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
27,"https://www.pracuj.pl/praca/kierowca-krajowy-kat-c%2be-gniezno,oferta,1002995026",Kierowca krajowy kat. C+E,ER-TRANS,,,,,False,,,Gniezno,Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów
28,"https://www.pracuj.pl/praca/magazynier-kierowca-nieporet-pow-legionowski,oferta,1002995000",Magazynier - Kierowca,KK-POL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SP.K,,,,,False,,,Nieporęt (pow. legionowski),Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
29,"https://www.pracuj.pl/praca/kierowca-magazynier-zaczernie-pow-rzeszowski,oferta,1002997803",Kierowca - magazynier,ML SYSTEM SPÓŁKA AKCYJNA,,,,,True,,,Zaczernie (pow. rzeszowski),Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
30,"https://www.pracuj.pl/praca/kierowca-kat-c-niemcy,oferta,10323541",Kierowca kat. C,TVM Transport & Logistics GmbH,,,,,True,,,"Soest, Niemcy",Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów
31,"https://www.pracuj.pl/praca/kierowca-kat-c-wlochy,oferta,10323533",Kierowca kat. C,TVM Transport & Logistics sp. z o.o.,,,,,True,,,"Werona, Włochy",Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów
32,,Kierowca Cysterny ADR kat. C+E,IAT GmbH w Niemczech,,,,,False,,,16 lokalizacji,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz
33,"https://www.pracuj.pl/praca/magazynier-kierowca-balice-pow-krakowski-wierzbowa-5,oferta,1002971556",Magazynier - Kierowca,MOBILNY MARKET sp. z o.o.,6 000–8 000 zł brutto / mies.,6 000,8 000,False,False,,,"Balice (pow. krakowski), Dębniki",Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (2 wakaty)
34,"https://www.pracuj.pl/praca/dostawca-kierowca-raszyn-pow-pruszkowski-slowikowskiego-85,oferta,1002970402",Dostawca - Kierowca,ITP S.A.,,,,,False,,,Raszyn (pow. pruszkowski),Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca mobilna
35,"https://www.pracuj.pl/praca/kierowca-sprzedaz-cateringu-warszawa,oferta,1003006621",Kierowca - sprzedaż cateringu,Sandwicz Szop,5 000–9 500 zł brutto / mies.,5 000,9 500,False,True,,,Warszawa,Pracownik fizyczny,Pełny etat,Umowa zlecenie,Praca mobilna
36,"https://www.pracuj.pl/praca/kierowca-autotransportera-z-kategoria-prawa-jazdy-c%2be-bierun-swierczyniecka-83,oferta,1002964243",Kierowca autotransportera z kategorią prawa jazdy C+E,BERTANI POLAND sp. z o.o.,,,,,False,,,Bieruń,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca mobilna
37,"https://www.pracuj.pl/praca/mechanik-samochodow-ciezarowych-%d0%9c%d0%b5%d1%85%d0%b0%d0%bd%d1%96%d0%ba-bierun,oferta,1002964240",Mechanik Samochodów Ciężarowych / Механік вантажних автомобілей,BERTANI POLAND sp. z o.o.,,,,,False,,,Bieruń,Pracownik fizyczny,Pełny etat,Umowa o pracę,Запрошуємо працівників з України
38,"https://www.pracuj.pl/praca/kierowca-taxi-lublin-wolska-11,oferta,1002994868",Kierowca Taxi,BEAR CARS sp. z o.o.,3 500–14 999 zł brutto / mies.,3 500,14 999,False,True,,,"Lublin, Osiedle Bronowice III - Maki",Pracownik fizyczny,"Pełny etat, Część etatu, Dodatkowa / tymczasowa",Umowa zlecenie,Szukamy wielu kandydatów (200 wakatów)
39,"https://www.pracuj.pl/praca/hydraulik-kierowca-szczecin-wloscianska-1,oferta,1003004038",Hydraulik-Kierowca,"PRZEDSIĘBIORSTWO BUDOWLANO REMONTOWE ""POGOTOWIE LOKATORSKIE"" sp. z o.o.",4 000–4 500 zł brutto / mies.,4 000,4 500,False,False,,,Szczecin,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca mobilna
40,"https://www.pracuj.pl/praca/operator-koparki-wegrzce-pow-krakowski-b2-9,oferta,1002994757",Operator Koparki,Murkrak Sp. z o.o. Sp.k,,,,,False,,,Węgrzce (pow. krakowski),Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
41,,Kierowca ADR,ORLEN Transport Sp. z o.o.,,,,,False,,,28 lokalizacji,Pracownik fizyczny,Pełny etat,Kontrakt B2B,Praca mobilna
42,"https://www.pracuj.pl/praca/kierowca-placowy-niemcy,oferta,10323226",Kierowca Placowy,AUTOHERO,,,,,False,,,"Ketzin, Niemcy",Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
