,link,title,company,salary,salary from,salary to,plus VAT,is super,technologies,date,localization,add. info0,add. info1,add. info2,add. info3
0,"https://www.pracuj.pl/praca/pracownik-rolny-traktorzysta-witoslaw-pow-leszczynski-2,oferta,1002975803",Pracownik rolny - Traktorzysta,"GOSPODARSTWO ROLNE JAN KURPIEWSKI, WITOSŁAW",4 242–5 000 zł brutto / mies.,4 242,5 000,False,False,,,Witosław (pow. leszczyński),Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (2 wakaty)
1,"https://www.pracuj.pl/praca/kierowca-ciezarowki-rzeszow-wodzickich-26,oferta,1002975797",Kierowca ciężarówki,F.H.U. DESTIN Robert Urban,5 500–8 000 zł brutto / mies.,5 500,8 000,False,False,,,Rzeszów,Pracownik fizyczny,Pełny etat,Umowa zlecenie,Praca od zaraz
2,"https://www.pracuj.pl/praca/kierowca-kurier-wroclaw-bierutowska-81,oferta,1002975776",Kierowca - Kurier,Dankol,4 500–5 000 zł brutto / mies.,4 500,5 000,False,False,,,"Wrocław, Psie Pole",Pracownik fizyczny,"Pełny etat, Część etatu, Dodatkowa / tymczasowa",Umowa o pracę,Szukamy wielu kandydatów (3 wakaty)
3,"https://www.pracuj.pl/praca/kurier-kierowca-kat-b-szczecin,oferta,1002998372",Kurier - Kierowca kat. B,Mateusz Romanowski Transport,4 000–6 000 zł / mies. (zal. od umowy),4 000,6 000,False,False,,,Szczecin,Pracownik fizyczny,Pełny etat,"Umowa o pracę, Umowa zlecenie",Szukamy wielu kandydatów (2 wakaty)
4,"https://www.pracuj.pl/praca/kierowca-kat-c%2be-z-hds-na-trasach-krajowych-tychy-metalowa-3,oferta,1002998344",Kierowca kat. C+E z HDS na trasach krajowych,AM LOGISTC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,10 500–11 250 zł brutto / mies.,10 500,11 250,False,False,,,Tychy,Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (2 wakaty)
5,"https://www.pracuj.pl/praca/magazynier-kierowca-bielsko-biala-ksiedza-jozefa-londzina-47,oferta,1002998342",Magazynier - Kierowca,PROKONTECH INDUSTRIAL SOLUTIONS sp. z o.o.,,,,,False,,,Bielsko-Biała,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
6,"https://www.pracuj.pl/praca/traktorzysta-rybnik,oferta,1002998340",Traktorzysta,INŻBUD,,,,,False,,,Rybnik,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
7,"https://www.pracuj.pl/praca/kierowca-kurier-lodz,oferta,1003015424",Kierowca - Kurier,ARTMODE MAGDALENA MATECKA,4 500–4 501 zł brutto / mies.,4 500,4 501,False,False,,,Łódź,Pracownik fizyczny,Część etatu,Umowa o pracę,Praca od zaraz
8,"https://www.pracuj.pl/praca/kierowca-kat-c-poznan,oferta,1002975678",Kierowca kat. C,AZ HOME,7 000–8 000 zł brutto / mies.,7 000,8 000,False,False,,,Poznań,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca mobilna
9,,Kierowca Międzynarodowy C+E (możliwość przeszkolenia),SKAT Transport P.S.A,12 000–14 000 zł netto (+ VAT) / mies.,12 000,14 000,True,True,,,16 lokalizacji,Pracownik fizyczny,Pełny etat,Kontrakt B2B,Szukamy wielu kandydatów (10 wakatów)
