,link,title,company,salary,salary from,salary to,plus VAT,is super,technologies,date,localization,add. info0,add. info1,add. info2,add. info3
0,"https://www.pracuj.pl/praca/magazynier-pakowacz-morawica-pow-krakowski-356,oferta,1002972124",Magazynier - Pakowacz,Sławomir Filipowicz DIS-PACK OPAKOWANIA,4 000–4 650 zł / mies. (zal. od umowy),4 000,4 650,False,False,,,Morawica (pow. krakowski),Pracownik fizyczny,Pełny etat,"Umowa o pracę, Umowa zlecenie",Szukamy wielu kandydatów (2 wakaty)
1,"https://www.pracuj.pl/praca/magazynier-oltarzew-pow-warszawski-zachodni,oferta,1002987049",Magazynier,ASISTWORK Sp. z o.o.,31 zł brutto / godz.,31,,False,False,,,Ołtarzew (pow. warszawski zachodni),Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
2,"https://www.pracuj.pl/praca/magazynier-wroclaw-bierutowska-55,oferta,1002993117",Magazynier,Raben Logistics Polska sp. z o.o.,4 500–5 200 zł brutto / mies.,4 500,5 200,False,True,,,"Wrocław, Psie Pole",Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
3,"https://www.pracuj.pl/praca/operator-maszyn-i-urzadzen-radomsko-krasickiego-63-71,oferta,1002995382",Operator maszyn i urządzeń,SKB Drive Tech S.A.,,,,,False,,,Radomsko,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
4,"https://www.pracuj.pl/praca/magazynier-operator-wozka-widlowego-legnica,oferta,1003001110",Magazynier - Operator wózka widłowego,ADWOR sp. z o.o.,4 400–5 500 zł / mies. (zal. od umowy),4 400,5 500,False,False,,,Legnica,Pracownik fizyczny,Pełny etat,"Umowa o pracę, Umowa o pracę tymczasową",Szukamy wielu kandydatów (10 wakatów)
5,"https://www.pracuj.pl/praca/magazynier-dzial-dostaw-i-przyjec-gliwice-pszczynska-309,oferta,1002971687",Magazynier – dział dostaw i przyjęć,INNPRO ROBERT BŁĘDOWSKI sp. z o.o.,4 700–5 000 zł brutto / mies.,4 700,5 000,False,False,,,Gliwice,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
6,"https://www.pracuj.pl/praca/kierownik-magazynu-i-logistyki-latchorzew-pow-warszawski-zachodni-warszawska-164,oferta,1002995352",Kierownik magazynu i logistyki,ESTRO sp. z o.o.,,,,,False,,,Latchorzew (pow. warszawski zachodni),Kierownik / Koordynator,Pełny etat,Umowa o pracę,Запрошуємо працівників з України
7,"https://www.pracuj.pl/praca/magazynier-radom,oferta,1002987007",Magazynier,Roboplast Sp. z o.o.,,,,,False,,,Radom,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
8,"https://www.pracuj.pl/praca/programista-operator-maszyn-cnc-heidenhain-poznan-mogilenska-50,oferta,1002986997",Programista - Operator maszyn CNC (Heidenhain),HT Laser Sp. z o.o.,,,,,False,,,"Poznań, Nowe Miasto",Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
9,"https://www.pracuj.pl/praca/magazynier-kierowca-legnica-nowodworska-66,oferta,1002986995",Magazynier - Kierowca,"EUKANA A.ALUK-ROWIŃSKI, P. MATIJCZAK sp.j.",,,,,False,,,Legnica,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
10,"https://www.pracuj.pl/praca/pracownik-produkcyjny-lezyce-pow-wejherowski-aleja-parku-krajobrazowego-84,oferta,1002986993",Pracownik produkcyjny,DOE Sp. z o.o.,,,,,False,,,Łężyce (pow. wejherowski),Pracownik fizyczny,"Pełny etat, Część etatu, Dodatkowa / tymczasowa","Umowa o pracę, Umowa o dzieło, Umowa zlecenie, Kontrakt B2B, Umowa o pracę tymczasową, Umowa o staż / praktyki",Praca stacjonarna
11,"https://www.pracuj.pl/praca/magazynier-operator-wozka-widlowego-kowale-pow-gdanski-magazynowa-40,oferta,1002964967",Magazynier - Operator wózka widłowego,PST Ost Sped Sp. z o.o.,,,,,False,,,Kowale (pow. gdański),Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów
12,"https://www.pracuj.pl/praca/operator-maszyn-linii-produkcyjnych-skawina-jozefa-pilsudskiego-23,oferta,1002986980",Operator maszyn linii produkcyjnych,NPA SKAWINA SP. Z O O,4 700–5 300 zł brutto / mies.,4 700,5 300,False,True,,,Skawina,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
