,link,title,company,salary,salary from,salary to,plus VAT,is super,technologies,date,localization,add. info0,add. info1,add. info2,add. info3
0,"https://www.pracuj.pl/praca/analityk-analityczka-ds-raportowania-zrownowazonego-rozwoju-esg-pion-finansow-warszawa-prosta-18,oferta,1002975708",Analityk / Analityczka ds. raportowania zrównoważonego rozwoju / ESG (Pion Finansów),mBank,,,,,False,,,"Warszawa, Wola","Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Umowa o pracę,Praca od zaraz
1,"https://www.pracuj.pl/praca/specjalista-ds-kalkulacji-kosztow-analiz-rynkowych-i-sprzedazowych-rzeszow,oferta,1003001751","Specjalista ds. kalkulacji kosztów, analiz rynkowych i sprzedażowych",MPP | Cyfrowa Foto,,,,,False,,,Rzeszów,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca hybrydowa
2,"https://www.pracuj.pl/praca/developer-konfigurator-ferryt-warszawa,oferta,1003014839",Developer - Konfigurator Ferryt,7N Sp. z o.o.,14 280–16 800 zł / mies. (zal. od umowy),14 280,16 800,False,True,,,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
3,,Tagetik Developer,Accenture Technology,,,,,True,,,3 lokalizacje,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca hybrydowa
4,"https://www.pracuj.pl/praca/data-engineer-for-voice-assistant-warszawa,oferta,1002990450",Data Engineer for Voice Assistant,Samsung R&D Institute Poland,,,,,True,,,Warszawa,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa
5,"https://www.pracuj.pl/praca/senior-ml-engineer-krakow-na-zjezdzie-11,oferta,1002978428",Senior ML Engineer,Codete,150–175 zł netto (+ VAT) / godz.,150,175,True,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Kraków, Podgórze",Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca zdalna
6,"https://www.pracuj.pl/praca/senior-game-designer-krakow-promienistych-1,oferta,1002995043",Senior Game Designer,Fun Crafters,,,,,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Kraków, Prądnik Czerwony",Starszy specjalista (Senior),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
7,"https://www.pracuj.pl/praca/analityk-biznesowy-w-kanale-handlu-tradycyjnego-warszawa-czerniakowska-87a,oferta,1003006731",Analityk Biznesowy w kanale Handlu Tradycyjnego,Stock Polska Sp. z o.o.,,,,,True,,,"Warszawa, Mokotów",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa
8,"https://www.pracuj.pl/praca/support-engineer-krakow,oferta,1003006663",Support Engineer,Qualtrics,,,,,False,,,Kraków,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca stacjonarna
9,"https://www.pracuj.pl/praca/senior-sql-developer-warszawa-inflancka-4b,oferta,1002977992",Senior SQL developer,NielsenIQ,,,,,True,,,"Warszawa, Śródmieście",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Szukamy wielu kandydatów
10,"https://www.pracuj.pl/praca/analityk-kampanii-real-time-warszawa,oferta,1002974969",Analityk Kampanii Real Time,IT CONNECT Sp. z o.o. Sp. k.,,,,,False,,,Warszawa,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,"Umowa zlecenie, Kontrakt B2B",Praca od zaraz
11,"https://www.pracuj.pl/praca/senior-consultant-ryzyko-rynkowe-financial-services-market-risk-warszawa-inflancka-4a,oferta,1002992393",Senior Consultant - Ryzyko Rynkowe - Financial Services Market Risk,KPMG,,,,,True,,,"Warszawa, Śródmieście",Starszy specjalista (Senior),Pełny etat,Umowa o pracę,"Praca stacjonarna, Praca hybrydowa"
12,,Analityk lub Analityczka Task Mining w zespole Doradztwa Biznesowego Finance Transformation,EY (dawniej Ernst & Young),,,,,False,,,2 lokalizacje,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa
13,"https://www.pracuj.pl/praca/radca-prawny-ekspert-w-wydziale-taryf-departament-gospodarki-wodno-sciekowej-warszawa-zelazna-59a,oferta,1002997399",Radca Prawny - Ekspert w Wydziale Taryf (Departament Gospodarki Wodno-Ściekowej),Państwowe Gospodarstwo Wodne Wody Polskie,,,,,False,,,"Warszawa, Wola","Starszy specjalista (Senior), Ekspert",Pełny etat,Umowa o pracę,Praca od zaraz
14,"https://www.pracuj.pl/praca/service-desk-with-knowledge-of-german-at-c1-level-warszawa,oferta,1002997394",Service Desk with knowledge of German at C1 level,UPVANTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,,,,True,,,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,Specjalista (Mid / Regular),"Pełny etat, Część etatu",Umowa o pracę,Praca od zaraz
15,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-systemow-informatycznych-gdansk-budowlanych-72,oferta,1002974681",Młodszy specjalista ds. systemów informatycznych,Leasing Polski Sp. z o.o.,,,,,False,,,"Gdańsk, Matarnia",Młodszy specjalista (Junior),Pełny etat,Umowa o pracę,"Praca stacjonarna, Praca hybrydowa"
16,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-lancucha-dostaw-makroregionu-wyszkow-lesna-33,oferta,1002971494",Młodszy Specjalista ds. Łańcucha Dostaw Makroregionu,Biedronka (Jeronimo Martins Polska S.A.),,,,,True,,,Wyszków,Młodszy specjalista (Junior),Pełny etat,Umowa o pracę,Praca stacjonarna
17,"https://www.pracuj.pl/praca/programista-hurtowni-danych-bi-warszawa,oferta,1002974202",Programista Hurtowni Danych/BI,GRUPA PZU,,,,,False,,,Warszawa,Ekspert,Pełny etat,Umowa o pracę,Praca hybrydowa
18,"https://www.pracuj.pl/praca/konsultant-systemow-informatycznych-warszawa-adama-branickiego-13,oferta,1003006080",Konsultant Systemów Informatycznych,ASSECO DATA SYSTEMS S.A.,,,,,False,,,"Warszawa, Wilanów",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B","Praca stacjonarna, Praca hybrydowa"
19,"https://www.pracuj.pl/praca/ekspert-data-science-crm-warszawa,oferta,1002974109",Ekspert Data Science CRM,GRUPA PZU,,,,,False,,,Warszawa,Ekspert,Pełny etat,Umowa o pracę,Praca hybrydowa
20,"https://www.pracuj.pl/praca/analityk-ds-programowania-kampanii-digital-crm-warszawa,oferta,1002974088",Analityk ds. Programowania Kampanii Digital CRM,GRUPA PZU,,,,,False,,,Warszawa,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa
21,"https://www.pracuj.pl/praca/specjalista-ds-zarzadzania-ryzykiem-warszawa-chlodna-52,oferta,1002973984",Specjalista ds. Zarządzania Ryzykiem,PKO BP BANKOWY Powszechne Towarzystwo Emerytalne Spółka Akcyjna,,,,,False,,,"Warszawa, Wola","Specjalista (Mid / Regular), Młodszy specjalista (Junior)","Pełny etat, Część etatu",Umowa o pracę,Praca hybrydowa
22,"https://www.pracuj.pl/praca/staz-w-obszarze-market-intelligence-sopot,oferta,1002966348",Staż w Obszarze Market Intelligence,Grupa ERGO Hestia,,,,,False,,,Sopot,Praktykant / Stażysta,Część etatu,"Umowa zlecenie, Umowa o staż / praktyki",Praca stacjonarna
23,"https://www.pracuj.pl/praca/data-scientist-katowice-wroclawska-54,oferta,1002950595",Data Scientist,Reply Polska Sp. z o.o.,9 000–16 000 zł brutto / mies.,9 000,16 000,False,True,,,Katowice,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa
24,"https://www.pracuj.pl/praca/valuation-control-group-securitized-products-associate-warszawa-aleja-jana-pawla-ii-19,oferta,1002977133",Valuation Control Group - Securitized Products - Associate,J.P. Morgan Poland Services sp. z o.o.,,,,,True,,,"Warszawa, Wola",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz
25,"https://www.pracuj.pl/praca/ekspert-ds-kontrolingu-ubezpieczen-na-zycie-warszawa,oferta,1002996767",Ekspert ds. Kontrolingu Ubezpieczeń na Życie,GRUPA PZU,,,,,False,,,Warszawa,Ekspert,Pełny etat,Umowa o pracę,Praca hybrydowa
26,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-kontrolingu-warszawa,oferta,1002972950",Młodszy Specjalista ds. Kontrolingu,GRUPA PZU,,,,,False,,,Warszawa,Młodszy specjalista (Junior),Pełny etat,Umowa o pracę,Praca hybrydowa
27,"https://www.pracuj.pl/praca/technical-solutions-engineer-google-cloud-warszawa-emilii-plater-53,oferta,1002996267",Technical Solutions Engineer - Google Cloud,Google,,,,,True,,,"Warszawa, Śródmieście",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa
28,"https://www.pracuj.pl/praca/bacoe-financial-analyst-krakow-wielicka-28,oferta,1003002443",BACoE Financial Analyst,Kingfisher,,,,,True,,,"Kraków, Podgórze","Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Umowa o pracę,"Praca zdalna, Praca hybrydowa"
