,link,title,company,salary,salary from,salary to,plus VAT,is super,technologies,date,localization,add. info0,add. info1,add. info2,add. info3
0,"https://www.pracuj.pl/praca/specjalista-ds-bezpieczenstwa-lodz-wersalska-75-77,oferta,1002975740",Specjalista ds. Bezpieczeństwa,Rossmann SDP,,,,,False,,,"Łódź, Bałuty",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca hybrydowa
1,"https://www.pracuj.pl/praca/specjalista-ds-prawnych-wroclaw-danuty-siedzikowny-12,oferta,1002967857",Specjalista ds. prawnych,KANCELARIA PRAWNA VIA LEX L SZCZEŚNIAK I WSPÓLNICY,,,,,False,,,"Wrocław, Psie Pole",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca stacjonarna
2,,Radca Prawny/Adwokat/Prawnik Procesowy,"Bochenek, Ciesielski i Wspólnicy Kancelaria Adwokatów i Radców Prawnych sp. k.",,,,,False,,,7 lokalizacji,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca hybrydowa
3,"https://www.pracuj.pl/praca/specjalista-ds-obslugi-klienta-warszawa-zygmunta-modzelewskiego-77a,oferta,1002987783",Specjalista ds. Obsługi Klienta,Biuro Informacji Kredytowej,,,,,False,,,"Warszawa, Mokotów",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa
4,"https://www.pracuj.pl/praca/it-security-tester-wroclaw-wagonowa-2d,oferta,1003001879",IT Security Tester,Zone IT Sp. z o.o.,,,,,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Wrocław, Fabryczna",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
5,"https://www.pracuj.pl/praca/analityk-network-security-wroclaw-wagonowa-2d,oferta,1003001878",Analityk - Network Security,Zone IT Sp. z o.o.,,,,,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Wrocław, Fabryczna",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
6,"https://www.pracuj.pl/praca/cyber-security-engineer-wroclaw-wagonowa-2d,oferta,1003001877",Cyber Security Engineer,Zone IT Sp. z o.o.,,,,,True,,,"Wrocław, Fabryczna",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
7,"https://www.pracuj.pl/praca/tester-pentester-specjalista-ds-testowania-bezpieczenstwa-wroclaw-wagonowa-2d,oferta,1003001876",Tester (Pentester) - Specjalista ds. testowania bezpieczeństwa,Zone IT Sp. z o.o.,,,,,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Wrocław, Fabryczna",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
8,"https://www.pracuj.pl/praca/tester-pentester-cloud-security-wroclaw-wagonowa-2d,oferta,1003001875",Tester (Pentester) – Cloud Security,Zone IT Sp. z o.o.,,,,,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Wrocław, Fabryczna",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
9,"https://www.pracuj.pl/praca/ekspert-ds-bezpieczenstwa-informacji-wroclaw-rybacka-9,oferta,1002998414",Ekspert ds. Bezpieczeństwa Informacji,CodeTwo,,,,,False,,,"Wrocław, Stare Miasto","Starszy specjalista (Senior), Ekspert",Pełny etat,Umowa o pracę,"Praca stacjonarna, Praca zdalna, Praca hybrydowa"
10,"https://www.pracuj.pl/praca/senior-data-manager-warszawa-encyklopedyczna-2a,oferta,1003012059",Senior Data Manager,JellyTech,15 000–18 500 zł netto (+ VAT) / mies.,15 000,18 500,True,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Bielany",Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca od zaraz
11,,Radca Prawny / Adwokat (Associate),Kancelaria prawna SPCG,,,,,False,,,4 lokalizacje,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca zdalna
12,"https://www.pracuj.pl/praca/menedzer-ds-ochrony-informacji-i-danych-osobowych-warszawa-dolna-3,oferta,1003011763",Menedżer ds. Ochrony Informacji i Danych Osobowych,Biedronka (Jeronimo Martins Polska S.A.),,,,,True,,,"Warszawa, Mokotów",Menedżer,Pełny etat,Umowa o pracę,Praca stacjonarna
13,"https://www.pracuj.pl/praca/koordynator-dzialu-prawnego-krakow-puszkarska-7f,oferta,1003006992",Koordynator Działu Prawnego,Holding1,,,,,False,,,"Kraków, Podgórze Duchackie",Kierownik / Koordynator,Pełny etat,Umowa o pracę,Praca stacjonarna
14,"https://www.pracuj.pl/praca/prawnik-in-house-krakow-puszkarska-7f,oferta,1003006962",Prawnik In-house,Holding1,,,,,False,,,"Kraków, Podgórze Duchackie",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca stacjonarna
15,"https://www.pracuj.pl/praca/specjalista-bezpieczenstwa-informacji-warszawa-konstruktorska-12a,oferta,1002998049",Specjalista Bezpieczeństwa Informacji,ProService Finteco Sp. z o.o.,,,,,False,,,"Warszawa, Mokotów",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
