,link,title,company,salary,salary from,salary to,plus VAT,is super,technologies,date,localization,add. info0,add. info1,add. info2,add. info3
0,"https://www.pracuj.pl/praca/tokarz-cnc-tarnowskie-gory,oferta,1003004761",Tokarz CNC,KORO RIW sp. z o.o.,6 300–9 000 zł brutto / mies.,6 300,9 000,False,False,,,Tarnowskie Góry,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
1,"https://www.pracuj.pl/praca/specjalista-specjalistka-ds-utrzymania-platformy-bilingowej-umowa-na-zastepstwo-warszawa-wynalazek-1,oferta,1002993116",Specjalista / Specjalistka ds. Utrzymania Platformy Bilingowej (umowa na zastępstwo),PLAY (P4 Sp. z o.o.),,,,,True,,,"Warszawa, Mokotów",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz
2,"https://www.pracuj.pl/praca/ux-designer-dh-gdansk-aleja-grunwaldzka-415,oferta,1002975731",UX Designer (DH),Lufthansa Systems,8 000–16 000 zł brutto / mies.,8 000,16 000,False,True,,,"Gdańsk, Oliwa",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Запрошуємо працівників з України
3,"https://www.pracuj.pl/praca/mlodszy-a-programista-ka-php-warszawa-towarowa-28,oferta,1002987017",Młodszy/a Programista/ka PHP,Crido,,,,,False,,,"Warszawa, Wola","Specjalista (Mid / Regular), Młodszy specjalista (Junior)",Pełny etat,Umowa o pracę,Praca hybrydowa
4,"https://www.pracuj.pl/praca/programista-operator-maszyn-cnc-heidenhain-poznan-mogilenska-50,oferta,1002986997",Programista - Operator maszyn CNC (Heidenhain),HT Laser Sp. z o.o.,,,,,False,,,"Poznań, Nowe Miasto",Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
5,"https://www.pracuj.pl/praca/senior-data-engineer-warszawa,oferta,1002929212",Senior Data Engineer,ASTEK Polska,150–180 zł netto (+ VAT) / godz.,150,180,True,True,,,Warszawa,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz
6,"https://www.pracuj.pl/praca/senior-java-developer-middleware-gdansk-aleja-grunwaldzka-415,oferta,1003004578",Senior Java Developer - Middleware,Lufthansa Systems,10 000–29 400 zł / mies. (zal. od umowy),10 000,29 400,False,True,,,"Gdańsk, Oliwa","Starszy specjalista (Senior), Ekspert",Pełny etat,"Umowa o pracę, Kontrakt B2B",Szukamy wielu kandydatów (2 wakaty)
7,,Java Developer with French/German,Sollers Consulting,,,,,True,,,9 lokalizacji,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca hybrydowa
8,"https://www.pracuj.pl/praca/net-developer-bydgoszcz,oferta,1002958508",.NET Developer,Scalo Sp. z o.o.,100–120 zł netto (+ VAT) / godz.,100,120,True,True,,,Bydgoszcz,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz
9,"https://www.pracuj.pl/praca/c%2b%2b-developer-warszawa,oferta,1002958813",C++ Developer,Novaris Sp. z o.o.,17 000–25 000 zł / mies. (zal. od umowy),17 000,25 000,False,True,,,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca zdalna
10,"https://www.pracuj.pl/praca/devops-architekt-systemow-it-warszawa,oferta,1002958818",DevOps Architekt Systemów IT,Novaris Sp. z o.o.,19 000–27 000 zł / mies. (zal. od umowy),19 000,27 000,False,True,,,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca zdalna
11,,Programista SQL/ETL – Administrator Aplikacji,Media Expert,,,,,True,,,2 lokalizacje,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca stacjonarna
12,,Project Manager – Dział Rozwoju Logistyki,Media Expert,,,,,True,,,2 lokalizacje,Menedżer,Pełny etat,Umowa o pracę,Praca stacjonarna
13,"https://www.pracuj.pl/praca/scala-big-data-developer-warszawa,oferta,1002971083",Scala & Big Data Developer,Novaris Sp. z o.o.,19 000–32 000 zł netto (+ VAT) / mies.,19 000,32 000,True,True,,,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca zdalna
14,"https://www.pracuj.pl/praca/senior-full-stack-java-developer-krakow-stanislawa-klimeckiego-1,oferta,1002971078",Senior Full Stack Java Developer,Brown Brothers Harriman,,,,,True,,,"Kraków, Podgórze","Starszy specjalista (Senior), Ekspert",Pełny etat,Umowa o pracę,Praca hybrydowa
15,,Starszy Analityk Systemowy,ALTEN Polska,,,,,True,,,2 lokalizacje,Starszy specjalista (Senior),Pełny etat,Umowa o pracę,Praca od zaraz
16,"https://www.pracuj.pl/praca/integration-designer-developer-warszawa-aleje-jerozolimskie-200,oferta,1002975831",Integration Designer / Developer,4IT SOLUTIONS sp. z o.o.,110–170 zł netto (+ VAT) / godz.,110,170,True,True,,,"Warszawa, Włochy",Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca od zaraz
17,"https://www.pracuj.pl/praca/net-c%2b%2b-developer-warszawa-aleje-jerozolimskie-132,oferta,1002987332",.NET / C++ Developer,Symfonia sp. z o.o.,,,,,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Ochota",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Szukamy wielu kandydatów (3 wakaty)
18,,Junior Digital Learning Developer (ICH Europe),Accenture Intelligent Consulting Hub Europe,,,,,True,,,16 lokalizacji,Młodszy specjalista (Junior),Pełny etat,Umowa o pracę,Szukamy wielu kandydatów
19,,Learning Design and Development Specialist (Instructional Designer / Developer) (ICH Europe),Accenture Intelligent Consulting Hub Europe,,,,,True,,,16 lokalizacji,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Szukamy wielu kandydatów
20,,Data & Analytics Consultant (ICH Europe),Accenture Intelligent Consulting Hub Europe,,,,,True,,,16 lokalizacji,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Запрошуємо працівників з України
21,"https://www.pracuj.pl/praca/bi-developer-operations-support-warszawa-marynarska-12,oferta,1002995559",BI Developer – Operations Support,T-Mobile,,,,,False,,,"Warszawa, Mokotów",Młodszy specjalista (Junior),Pełny etat,Kontrakt B2B,Praca hybrydowa
22,"https://www.pracuj.pl/praca/senior-fullstack-developer-java%2bangular-poznan-krysiewicza-9,oferta,1002995605",Senior Fullstack Developer (Java+Angular),Consdata S.A.,14 900–27 220 zł / mies. (zal. od umowy),14 900,27 220,False,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Poznań, Stare Miasto",Starszy specjalista (Senior),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
23,"https://www.pracuj.pl/praca/regular-java-developer-poznan-krysiewicza-9,oferta,1002995604",Regular Java Developer,Consdata S.A.,11 300–21 000 zł / mies. (zal. od umowy),11 300,21 000,False,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Poznań, Stare Miasto",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
24,"https://www.pracuj.pl/praca/regular-fullstack-developer-java%2bangular-poznan-krysiewicza-9,oferta,1002995603",Regular Fullstack Developer (Java+Angular),Consdata S.A.,11 300–21 000 zł / mies. (zal. od umowy),11 300,21 000,False,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Poznań, Stare Miasto",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
25,"https://www.pracuj.pl/praca/android-developer-for-samsung-wallet-project-warszawa-plac-europejski-1,oferta,1003001575",Android Developer for Samsung Wallet Project,Samsung R&D Institute Poland,,,,,True,,,"Warszawa, Wola",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa
26,"https://www.pracuj.pl/praca/react-developer-wroclaw-wagonowa-2d,oferta,1003001570",React Developer,Zone IT Sp. z o.o.,12 000–20 000 zł / mies. (zal. od umowy),12 000,20 000,False,True,,,"Wrocław, Fabryczna",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
27,"https://www.pracuj.pl/praca/web-designer-developer-wroclaw-wagonowa-2d,oferta,1003001571",Web Designer/Developer,Zone IT Sp. z o.o.,8 000–16 000 zł / mies. (zal. od umowy),8 000,16 000,False,True,,,"Wrocław, Fabryczna",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
28,"https://www.pracuj.pl/praca/python-software-developer-wroclaw-wagonowa-2d,oferta,1003001568",Python Software Developer,Zone IT Sp. z o.o.,12 000–20 000 zł / mies. (zal. od umowy),12 000,20 000,False,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Wrocław, Fabryczna",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
29,"https://www.pracuj.pl/praca/c-c%2b%2b-developer-wroclaw-wagonowa-2d,oferta,1003001567",C/C++ Developer,Zone IT Sp. z o.o.,12 000–20 000 zł / mies. (zal. od umowy),12 000,20 000,False,True,,,"Wrocław, Fabryczna",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
30,"https://www.pracuj.pl/praca/machine-learning-engineer-wroclaw-wagonowa-2d,oferta,1003001563",Machine Learning Engineer,Zone IT Sp. z o.o.,16 000–26 000 zł / mies. (zal. od umowy),16 000,26 000,False,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Wrocław, Fabryczna",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
31,"https://www.pracuj.pl/praca/spark-developer-krakow-kapelanka-42a,oferta,1002998537",Spark Developer,HSBC Service Delivery (Polska) Sp. z o.o.,,,,,True,,,"Kraków, Dębniki",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Запрошуємо працівників з України
32,"https://www.pracuj.pl/praca/net-fullstack-developer-lodz-fabryczna-17,oferta,1003001528",.Net Fullstack Developer,Media Expert,,,,,True,,,"Łódź, Widzew",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca stacjonarna
33,"https://www.pracuj.pl/praca/fullstack-developer-java%2breact-warszawa,oferta,1003009613",Fullstack Developer (Java+React),Connectis_,25 000–28 000 zł netto (+ VAT) / mies.,25 000,28 000,True,True,,,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca zdalna
34,"https://www.pracuj.pl/praca/devops-engineer-wroclaw-jana-dlugosza-60,oferta,1003007030",DevOps Engineer,ASTEK Polska,16 800–21 000 zł netto (+ VAT) / mies.,16 800,21 000,True,True,,,"Wrocław, Psie Pole","Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Kontrakt B2B,Szukamy wielu kandydatów
35,"https://www.pracuj.pl/praca/data-scientist-w-zespole-sztucznej-inteligencji-warszawa-stanislawa-zaryna-2a,oferta,1002964924",Data Scientist w Zespole Sztucznej Inteligencji,Bank Millennium S.A.,,,,,False,,,"Warszawa, Mokotów","Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Umowa o pracę,Praca od zaraz
36,"https://www.pracuj.pl/praca/data-engineer-with-databricks-warszawa-sienna-39,oferta,1002986930",Data Engineer with DataBricks,Avanade Poland Sp. z o.o.,13 000–26 800 zł / mies. (zal. od umowy),13 000,26 800,False,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Śródmieście","Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,"Umowa o pracę, Kontrakt B2B",Szukamy wielu kandydatów
37,"https://www.pracuj.pl/praca/data-engineer-in-microsoft-azure-cloud-krakow-pawia-21,oferta,1002986929",Data Engineer in Microsoft Azure Cloud,Avanade Poland Sp. z o.o.,10 000–26 880 zł / mies. (zal. od umowy),10 000,26 880,False,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Kraków, Stare Miasto","Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,"Umowa o pracę, Kontrakt B2B",Szukamy wielu kandydatów
38,"https://www.pracuj.pl/praca/business-intelligence-consultant-power-bi-krakow,oferta,1002986928",Business Intelligence Consultant (Power BI),Avanade Poland Sp. z o.o.,13 000–26 880 zł / mies. (zal. od umowy),13 000,26 880,False,True,,,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Kraków,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,"Umowa o pracę, Kontrakt B2B",Szukamy wielu kandydatów
39,"https://www.pracuj.pl/praca/power-bi-data-developer-krakow,oferta,1002986927",Power BI (Data) Developer,Avanade Poland Sp. z o.o.,13 000–26 880 zł / mies. (zal. od umowy),13 000,26 880,False,True,,,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Kraków,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Szukamy wielu kandydatów
40,"https://www.pracuj.pl/praca/senior-sql-developer-krakow,oferta,1002986920",Senior SQL Developer,Mindbox S.A.,30 000–36 000 zł netto (+ VAT) / mies.,30 000,36 000,True,True,,,Kraków,Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Запрошуємо працівників з України
41,"https://www.pracuj.pl/praca/head-of-controlling-warszawa,oferta,1002975630",Head of Controlling,R.Power,,,,,True,,,Warszawa,"Dyrektor, Menedżer",Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
42,"https://www.pracuj.pl/praca/starszy-analityk-ds-zgodnosci-z-przepisami-inwestycyjnymi-sql-python-programowan-gdansk,oferta,1002938171","Starszy analityk ds. zgodności z przepisami inwestycyjnymi (SQL/Python/programowanie), współpracownik 2",State Street,,,,,True,,,Gdańsk,Starszy specjalista (Senior),Pełny etat,Umowa o pracę,Запрошуємо працівників з України
43,"https://www.pracuj.pl/praca/programista-gier-unity-wielka-brytania,oferta,10296101",Programista Gier Unity,OctOrbit,20–50 zł / godz. (zal. od umowy),20,50,False,True,,,"Sheffield, Wielka Brytania","Specjalista (Mid / Regular), Młodszy specjalista (Junior)","Pełny etat, Część etatu","Umowa o dzieło, Umowa zlecenie, Kontrakt B2B",Praca od zaraz
44,"https://www.pracuj.pl/praca/devops-engineer-warszawa,oferta,1003009288",DevOps Engineer,CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,,,,,True,,,Warszawa,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
45,"https://www.pracuj.pl/praca/fullstack-developer-php-%2b-react-warszawa-bialy-kamien-2,oferta,1002990508",Fullstack Developer (PHP + React),TELEMEDI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16 000–23 000 zł netto (+ VAT) / mies.,16 000,23 000,True,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Mokotów","Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Kontrakt B2B,Szukamy wielu kandydatów
46,"https://www.pracuj.pl/praca/react-native-developer-warszawa,oferta,1003009274",React Native Developer,Connectis_,20 000–25 000 zł netto (+ VAT) / mies.,20 000,25 000,True,True,,,Warszawa,Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca zdalna
47,"https://www.pracuj.pl/praca/java-developer-warszawa,oferta,1003009275",Java Developer,Connectis_,24 000–27 000 zł netto (+ VAT) / mies.,24 000,27 000,True,True,,,Warszawa,Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca hybrydowa
48,"https://www.pracuj.pl/praca/fullstack-developer-java-%2b-angular-warszawa,oferta,1002986862",Fullstack Developer (Java + Angular),Prime Engineering Poland,22 000–27 000 zł netto (+ VAT) / mies.,22 000,27 000,True,True,,,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz
49,"https://www.pracuj.pl/praca/angular-developer-wroclaw-wyspa-slodowa-7,oferta,1002986863",Angular Developer,Prime Engineering Poland,10 000–17 000 zł / mies. (zal. od umowy),10 000,17 000,False,True,,,"Wrocław, Śródmieście",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
50,"https://www.pracuj.pl/praca/senior-java-developer-%2b-angular-warszawa,oferta,1002986864",Senior Java Developer (+ Angular),Prime Engineering Poland,24 000–29 300 zł netto (+ VAT) / mies.,24 000,29 300,True,True,,,Warszawa,Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca od zaraz
51,"https://www.pracuj.pl/praca/lead-fullstack-developer-java-%2b-angular-warszawa,oferta,1002986866",Lead Fullstack Developer (Java + Angular),Prime Engineering Poland,28 000–31 500 zł netto (+ VAT) / mies.,28 000,31 500,True,True,,,Warszawa,Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca od zaraz
52,"https://www.pracuj.pl/praca/fullstack-developer-java-%2bangular-wroclaw-wyspa-slodowa-7,oferta,1002986857",Fullstack Developer Java (+Angular),Prime Engineering Poland,20 000–24 000 zł / mies. (zal. od umowy),20 000,24 000,False,True,,,"Wrocław, Śródmieście",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
53,"https://www.pracuj.pl/praca/golang-developer-warszawa,oferta,1002986859",Golang Developer,Prime Engineering Poland,19 000–25 000 zł netto (+ VAT) / mies.,19 000,25 000,True,True,,,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Kontrakt B2B,Praca od zaraz
54,,Senior Java Developer,Sollers Consulting,,,,,True,,,9 lokalizacji,Starszy specjalista (Senior),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca hybrydowa
55,"https://www.pracuj.pl/praca/data-analyst-with-python-warszawa-prosta-67,oferta,1002975552",Data Analyst with Python,XTB,,,,,True,,,"Warszawa, Wola",Młodszy specjalista (Junior),Pełny etat,"Umowa o pracę, Umowa zlecenie",Запрошуємо працівників з України
56,"https://www.pracuj.pl/praca/specjalista-ds-digitalizacji-procesow-ferryt-warszawa-chmielna-73,oferta,1002995153",Specjalista ds. Digitalizacji Procesów – Ferryt,Bank Gospodarstwa Krajowego,,,,,False,,,"Warszawa, Wola",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa
57,,DevOps Engineer,Sollers Consulting,,,,,True,,,9 lokalizacji,Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca hybrydowa
