,link,title,company,salary,salary from,salary to,plus VAT,is super,technologies,date,localization,add. info0,add. info1,add. info2,add. info3
0,"https://www.pracuj.pl/praca/sap-s-4hana-analyst-configurator-wroclaw-wagonowa-2d,oferta,1003001867",SAP S/4HANA Analyst Configurator,Zone IT Sp. z o.o.,,,,,True,SAPS/4HANA,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Wrocław, Fabryczna",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Umowa o dzieło, Umowa zlecenie, Kontrakt B2B","Praca zdalna, Praca hybrydowa"
1,"https://www.pracuj.pl/praca/senior-endpoint-protection-engineer-krakow-kapelanka-42a,oferta,1003001298",Senior Endpoint Protection Engineer,HSBC Service Delivery (Polska) Sp. z o.o.,,,,,True,,,"Kraków, Dębniki",Starszy specjalista (Senior),Pełny etat,Umowa o pracę,Запрошуємо працівників з України
2,"https://www.pracuj.pl/praca/content-moderator-junior-data-reviewer-with-english-and-czech-slovak-warszawa,oferta,1003001387",Content Moderator (Junior Data Reviewer) with English and Czech/Slovak,Accenture Operations,,,,,True,,,Warszawa,Młodszy specjalista (Junior),Pełny etat,Umowa o pracę,Запрошуємо працівників з України
3,"https://www.pracuj.pl/praca/platform-operations-team-lead-java-oracle-aws-krakow,oferta,1003001851",Platform Operations Team Lead (Java/Oracle/AWS),NTIATIVE sp. z o.o.,30 000–35 000 zł / mies. (zal. od umowy),30 000,35 000,False,True,JavaAWS,,Kraków,"Kierownik / Koordynator, Menedżer",Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca zdalna
4,"https://www.pracuj.pl/praca/senior-software-integration-developer-node-js-warszawa,oferta,1003001869",Senior Software Integration Developer (Node.js),WINGED IT SP Z O O,29 000–33 400 zł netto (+ VAT) / mies.,29 000,33 400,True,True,Node.jsSQLNoSQLMongoDBRedisPostgreSQLAWSDockerKubernetesGoogle Cloud PlatformMicrosoft AzureSwarm,,Warszawa,Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca od zaraz
5,"https://www.pracuj.pl/praca/inzynier-ka-modelowania-predykcyjnego-predictive-modeling-engineer-warszawa-czerniakowska-87a,oferta,1003001890",Inżynier/-ka Modelowania Predykcyjnego (Predictive Modeling Engineer),Integer Group Services Sp. z o.o,,,,,False,,,"Warszawa, Mokotów",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa
6,"https://www.pracuj.pl/praca/analityk-czka-business-intelligence-business-intelligence-analyst-warszawa-czerniakowska-87a,oferta,1003001889",Analityk/-czka Business Intelligence (Business Intelligence Analyst),Integer Group Services Sp. z o.o,,,,,False,,,"Warszawa, Mokotów",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa
7,"https://www.pracuj.pl/praca/service-desk-administrator-with-finnish-gdansk-aleja-grunwaldzka-411,oferta,1003009459",Service Desk Administrator with Finnish,Wipro IT Services,,,,,True,,,"Gdańsk, Oliwa",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz
8,"https://www.pracuj.pl/praca/senior-java-backend-developer-technical-leader-warszawa-plac-europejski-1,oferta,1003014976",Senior Java Backend Developer / Technical Leader,Samsung R&D Institute Poland,,,,,True,JavaSpring-BootRDBMSMessaging SystemCache SystemApp ServiceVirtual MachineNetworksGitJiraConfluence,,"Warszawa, Wola","Starszy specjalista (Senior), Ekspert",Pełny etat,Umowa o pracę,Praca hybrydowa
9,"https://www.pracuj.pl/praca/konsultant-sap-sap-s-4hana-obszar-finanse-fi-co-warszawa-daimlera-2,oferta,1003012052","Konsultant SAP, SAP S/4HANA (obszar finanse FI/CO)",DahliaMatic,8 000–15 000 zł / mies. (zal. od umowy),8 000,15 000,False,True,SAPSAP HANAS/4HANA,,"Warszawa, Włochy",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
10,,Senior Network Perfomance Engineer,JellyTech,24 000–36 900 zł netto (+ VAT) / mies.,24 000,36 900,True,True,SDNCisco ACICheckpointFortinetLinux KernelRedHatOpenshiftIstio,,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:3 lokalizacje,Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca od zaraz
11,"https://www.pracuj.pl/praca/sql-database-administrator-dba-warszawa-encyklopedyczna-2a,oferta,1003012054",SQL Database Administrator (DBA),JellyTech,12 000–22 000 zł netto (+ VAT) / mies.,12 000,22 000,True,True,SQLTransact SQLPower BISSRSPowerShellT-SQL,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Bielany",Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca od zaraz
12,"https://www.pracuj.pl/praca/data-engineer-sprinklr-warszawa-encyklopedyczna-2a,oferta,1003012053",Data Engineer (Sprinklr),JellyTech,14 000–22 000 zł netto (+ VAT) / mies.,14 000,22 000,True,True,SprinklrETLDWHData LakeDatabricksAWSGithubSQLPythonSpark,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Bielany","Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Kontrakt B2B,Praca od zaraz
13,"https://www.pracuj.pl/praca/php-developer-warszawa-encyklopedyczna-2a,oferta,1003012051",PHP Developer,JellyTech,12 000–18 000 zł netto (+ VAT) / mies.,12 000,18 000,True,True,PHPSymfonyPostgreSQLMongoDBDocker,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Bielany",Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz
14,"https://www.pracuj.pl/praca/qnx-security-engineer-warszawa-encyklopedyczna-2a,oferta,1003012050",QNX Security Engineer,JellyTech,24 000–26 000 zł netto (+ VAT) / mies.,24 000,26 000,True,True,CC++QNXGitQualcommTINXP,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Bielany",Starszy specjalista (Senior),Pełny etat,Kontrakt B2B,Praca od zaraz
