,link,title,company,salary,salary from,salary to,plus VAT,is super,technologies,date,localization,add. info0,add. info1,add. info2,add. info3
0,"https://www.pracuj.pl/praca/spawacz-mag-tig-niemcy,oferta,10310752",Spawacz MAG - TIG,Pośrednictwo pracy Elżbieta Soberka,12 000–14 000 zł brutto / mies.,12 000,14 000,False,True,,,Niemcy,Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów
1,"https://www.pracuj.pl/praca/slusarz-spawacz-holandia,oferta,10320868",Ślusarz – spawacz,ENPA Sp. z o.o.,,,,,True,,,Holandia,Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (5 wakatów)
2,"https://www.pracuj.pl/praca/spawacz-grudziadz,oferta,1002964896",Spawacz,Hydro-Vacuum S.A.,,,,,True,,,Grudziądz,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
3,"https://www.pracuj.pl/praca/spawacz-tig-mag-elektroda-niemcy,oferta,10323792",Spawacz TIG / MAG / Elektroda,INDMONT SP. Z O.O. SP.K.,,,,,False,,,Niemcy,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
4,"https://www.pracuj.pl/praca/spawacz-mig-mag-chojnice,oferta,1003006722",Spawacz MIG MAG,Dreman Sp. z o.o.,5 700–8 200 zł / mies. (zal. od umowy),5 700,8 200,False,True,,,Chojnice,"Specjalista (Mid / Regular), Młodszy specjalista (Junior)",Pełny etat,"Umowa o dzieło, Umowa zlecenie",Praca stacjonarna
5,"https://www.pracuj.pl/praca/slusarz-brzeziny-pow-kaliski,oferta,1002986486",Ślusarz,ZWIERUCHO,,,,,False,,,Brzeziny (pow. kaliski),Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
6,"https://www.pracuj.pl/praca/monter-spawacz-slusarz-mlodzieszyn-pow-sochaczewski-chodakowska-36,oferta,1003015200",Monter - Spawacz - Ślusarz,SPAW - MONTER PIOTR MITROWSKI,27–40 zł brutto / godz.,27,40,False,False,,,Młodzieszyn (pow. sochaczewski),Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
7,"https://www.pracuj.pl/praca/spawacz-mig-bezplatne-zakwaterowanie-dodatki-niemcy,oferta,10292226","Spawacz MIG- bezpłatne zakwaterowanie,dodatki",BERKER DOMINIS Sp. z o.o. właściciel marki pracownicybudowlani.pl,14 000–15 000 zł brutto / mies.,14 000,15 000,False,True,,,"06889 Lutherstadt Wittenberg, Niemcy",Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów (4 wakaty)
8,"https://www.pracuj.pl/praca/spawacz-w-metodzie-mag-135-i-tig-141-sroda-wielkopolska-szarych-szeregow-14,oferta,1002983115",Spawacz w metodzie MAG 135 i TIG 141,PPHU SPAWSTAL SP. Z O.O.,,,,,True,,,Środa Wielkopolska,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
9,"https://www.pracuj.pl/praca/spawacz-mag-135-%2b-tig-141-niemcy,oferta,10295001",Spawacz MAG 135 + TIG 141,Przedsiębiorstwo Współpracy Gospodarczej Krakservis Sp. z o.o.,11 000–14 500 zł brutto / mies.,11 000,14 500,False,True,,,Niemcy,Pracownik fizyczny,Pełny etat,Umowa o pracę,Szukamy wielu kandydatów
10,"https://www.pracuj.pl/praca/spawacz-aluminium-lodz,oferta,1003006182",Spawacz Aluminium,REMEDY,33 zł brutto / godz.,33,,False,True,,,Łódź,Pracownik fizyczny,Pełny etat,Umowa zlecenie,Szukamy wielu kandydatów
11,"https://www.pracuj.pl/praca/spawacz-gdansk,oferta,1002994462",Spawacz,"""AN-ELEC"" sp. z o.o.",,,,,False,,,Gdańsk,Pracownik fizyczny,Pełny etat,"Umowa o pracę, Umowa zlecenie, Kontrakt B2B",Szukamy wielu kandydatów
