,link,title,company,salary,salary from,salary to,plus VAT,is super,technologies,date,localization,add. info0,add. info1,add. info2,add. info3
0,,Compliance and Policy Analyst,TELUS International AI Data Solutions,,,,,True,,,2 lokalizacje,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca stacjonarna
1,"https://www.pracuj.pl/praca/ux-designer-dh-gdansk-aleja-grunwaldzka-415,oferta,1002975731",UX Designer (DH),Lufthansa Systems,8 000–16 000 zł brutto / mies.,8 000,16 000,False,True,,,"Gdańsk, Oliwa",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Запрошуємо працівників з України
2,"https://www.pracuj.pl/praca/senior-data-engineer-warszawa,oferta,1002929212",Senior Data Engineer,ASTEK Polska,150–180 zł netto (+ VAT) / godz.,150,180,True,True,,,Warszawa,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz
3,"https://www.pracuj.pl/praca/scala-big-data-developer-warszawa,oferta,1002971083",Scala & Big Data Developer,Novaris Sp. z o.o.,19 000–32 000 zł netto (+ VAT) / mies.,19 000,32 000,True,True,,,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca zdalna
4,"https://www.pracuj.pl/praca/web-designer-developer-wroclaw-wagonowa-2d,oferta,1003001571",Web Designer/Developer,Zone IT Sp. z o.o.,8 000–16 000 zł / mies. (zal. od umowy),8 000,16 000,False,True,,,"Wrocław, Fabryczna",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
5,"https://www.pracuj.pl/praca/game-ux-ui-designer-wroclaw-wagonowa-2d,oferta,1003001565",Game UX/UI Designer,Zone IT Sp. z o.o.,8 000–16 000 zł / mies. (zal. od umowy),8 000,16 000,False,True,,,"Wrocław, Fabryczna",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
6,"https://www.pracuj.pl/praca/machine-learning-engineer-wroclaw-wagonowa-2d,oferta,1003001563",Machine Learning Engineer,Zone IT Sp. z o.o.,16 000–26 000 zł / mies. (zal. od umowy),16 000,26 000,False,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Wrocław, Fabryczna",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
7,"https://www.pracuj.pl/praca/specjalista-ds-marketing-automation-lodz-fabryczna-17,oferta,1003001559",Specjalista ds. Marketing Automation,Media Expert,,,,,True,,,"Łódź, Widzew",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca zdalna
8,"https://www.pracuj.pl/praca/digital-strategy-manager-warszawa-grzybowska-87,oferta,1002986952",Digital Strategy Manager,ALTEN Polska,,,,,True,,,"Warszawa, Wola","Kierownik / Koordynator, Menedżer",Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
9,"https://www.pracuj.pl/praca/procurement-analyst-wroclaw-legnicka-48f,oferta,1002964928",Procurement Analyst,BD - Becton Dickinson,,,,,False,,,"Wrocław, Fabryczna",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa
10,"https://www.pracuj.pl/praca/data-scientist-w-zespole-sztucznej-inteligencji-warszawa-stanislawa-zaryna-2a,oferta,1002964924",Data Scientist w Zespole Sztucznej Inteligencji,Bank Millennium S.A.,,,,,False,,,"Warszawa, Mokotów","Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Umowa o pracę,Praca od zaraz
11,"https://www.pracuj.pl/praca/data-engineer-with-databricks-warszawa-sienna-39,oferta,1002986930",Data Engineer with DataBricks,Avanade Poland Sp. z o.o.,13 000–26 800 zł / mies. (zal. od umowy),13 000,26 800,False,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa, Śródmieście","Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,"Umowa o pracę, Kontrakt B2B",Szukamy wielu kandydatów
12,"https://www.pracuj.pl/praca/data-engineer-in-microsoft-azure-cloud-krakow-pawia-21,oferta,1002986929",Data Engineer in Microsoft Azure Cloud,Avanade Poland Sp. z o.o.,10 000–26 880 zł / mies. (zal. od umowy),10 000,26 880,False,True,,,"Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Kraków, Stare Miasto","Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,"Umowa o pracę, Kontrakt B2B",Szukamy wielu kandydatów
13,"https://www.pracuj.pl/praca/graphic-designer-warszawa-domaniewska-39a,oferta,1002993032",Graphic Designer,Huawei Polska Sp. z o.o.,,,,,True,,,"Warszawa, Mokotów",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca stacjonarna
14,"https://www.pracuj.pl/praca/golang-developer-warszawa,oferta,1002986859",Golang Developer,Prime Engineering Poland,19 000–25 000 zł netto (+ VAT) / mies.,19 000,25 000,True,True,,,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Warszawa,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Kontrakt B2B,Praca od zaraz
15,"https://www.pracuj.pl/praca/horizontal-it-audit-officer-krakow-podgorska-36,oferta,1002981011","Horizontal IT Audit, Officer",State Street,,,,,True,,,"Kraków, Grzegórzki",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Запрошуємо працівників з України
16,"https://www.pracuj.pl/praca/horizontal-it-audit-vice-president-krakow-podgorska-36,oferta,1002981012","Horizontal IT Audit, Vice President",State Street,,,,,True,,,"Kraków, Grzegórzki",Prezes,Pełny etat,Umowa o pracę,Запрошуємо працівників з України
17,"https://www.pracuj.pl/praca/business-intelligence-analyst-data-engineer-wroclaw,oferta,1003004344",Business Intelligence Analyst / Data Engineer,VikingCo Poland sp. zo.o.,12 000–16 000 zł netto (+ VAT) / mies.,12 000,16 000,True,False,,,Wrocław,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz
18,"https://www.pracuj.pl/praca/product-owner-ux-designer-wroclaw-powstancow-slaskich-7a,oferta,1002975399",Product Owner / UX Designer,Hero.DOT,12 000–13 500 zł netto (+ VAT) / mies.,12 000,13 500,True,True,,,"Wrocław, Krzyki",Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz
19,"https://www.pracuj.pl/praca/nodejs-developer-warszawa-chlodna-48,oferta,1002964620",NodeJS Developer,Cyclad,24 000–27 000 zł / mies. (zal. od umowy),24 000,27 000,False,False,,,"Warszawa, Wola",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Szukamy wielu kandydatów (2 wakaty)
20,"https://www.pracuj.pl/praca/senior-technology-internal-auditor-warszawa-rondo-onz-1,oferta,1002986581",Senior Technology Internal Auditor,Franklin Templeton Investments Poland Sp. z o.o.,,,,,True,,,"Warszawa, Śródmieście","Specjalista (Mid / Regular), Starszy specjalista (Senior)",Pełny etat,Umowa o pracę,Praca hybrydowa
21,"https://www.pracuj.pl/praca/cto-ei-digiba-observability-engineer-krakow-kapelanka-42a,oferta,1002975240",(CTO EI DigiBA) Observability Engineer,HSBC Service Delivery (Polska) Sp. z o.o.,,,,,True,,,"Kraków, Dębniki",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Запрошуємо працівників з України
22,"https://www.pracuj.pl/praca/data-scientist-w-zespole-rozwoju-pricingu-warszawa-moldawska-9,oferta,1003004137",Data Scientist w Zespole Rozwoju Pricingu,Grupa ERGO Hestia,,,,,False,,,"Warszawa, Ochota",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca hybrydowa
23,"https://www.pracuj.pl/praca/data-engineer-warszawa-opatowska-2,oferta,1002994912",Data Engineer,BitPeak Sp. z o.o.,,,,,False,,,"Warszawa, Bielany",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B","Praca zdalna, Praca hybrydowa"
24,"https://www.pracuj.pl/praca/programista-bi-warszawa-burakowska-14,oferta,1002964067",Programista BI,Leroy Merlin Polska Sp. z o.o.,,,,,True,,,"Warszawa, Wola",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,"Praca stacjonarna, Praca hybrydowa"
25,"https://www.pracuj.pl/praca/senior-ux-ui-designer-wroclaw,oferta,1002974932",Senior UX/UI Designer,Axabee Sp. z o.o.,,,,,True,,,Wrocław,Starszy specjalista (Senior),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
26,"https://www.pracuj.pl/praca/cloud-data-engineer-krakow-stanislawa-klimeckiego-1,oferta,1002964029",Cloud Data Engineer,Getinge Shared Services sp. z o.o.,,,,,True,,,"Kraków, Podgórze",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Запрошуємо працівників з України
27,"https://www.pracuj.pl/praca/technology-specialist-product-architect-sem-cts-hub-krakow-aleja-jana-pawla-ii-43a,oferta,1003006423",Technology Specialist - Product Architect SEM/CTS/HUB,HEINEKEN Global Shared Services,,,,,True,,,"Kraków, Czyżyny",Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Запрошуємо працівників з України
