,link,title,company,salary,salary from,salary to,plus VAT,is super,technologies,date,localization,add. info0,add. info1,add. info2,add. info3
0,"https://www.pracuj.pl/praca/sales-development-representative-krakow-stanislawa-klimeckiego-4,oferta,1003015219",Sales Development Representative,SALESmanago,,,,,False,,,"Kraków, Podgórze",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Umowa zlecenie, Kontrakt B2B",Praca od zaraz
1,"https://www.pracuj.pl/praca/account-executive-krakow-stanislawa-klimeckiego-4,oferta,1003015220",Account Executive,SALESmanago,,,,,False,,,"Kraków, Podgórze",Starszy specjalista (Senior),Pełny etat,"Umowa o pracę, Umowa zlecenie, Kontrakt B2B",Praca od zaraz
2,"https://www.pracuj.pl/praca/przedstawiciel-handlowy-branza-beauty-poznan-promienista-118,oferta,1003015222",Przedstawiciel handlowy - branża beauty,SKINMED.PL,,,,,False,,,"Poznań, Grunwald",Specjalista (Mid / Regular),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca mobilna
3,,Sprzedawca w punktach firmowych,Piekarnia Hert,3 600–4 600 zł brutto / mies.,3 600,4 600,False,False,,,4 lokalizacje,Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca stacjonarna
4,,Sprzedawca Salonu Kazar,KAZAR Group Sp. z o.o.,,,,,False,,,33 lokalizacje,"Specjalista (Mid / Regular), Młodszy specjalista (Junior)","Pełny etat, Część etatu",Umowa o pracę,Praca stacjonarna
5,"https://www.pracuj.pl/praca/pracownik-dzialu-serwisu-i-sprzedazy-warszawa-rolnicza-19,oferta,1002987701",Pracownik Działu Serwisu i Sprzedaży,ADS MAREK JANUSZEWSKI,,,,,False,,,"Warszawa, Wawer","Specjalista (Mid / Regular), Młodszy specjalista (Junior)","Pełny etat, Część etatu",Umowa o pracę,Szukamy wielu kandydatów
6,"https://www.pracuj.pl/praca/sprzedawca-kasjer-i-garazowa-5-warszawa-garazowa-5,oferta,1002990691",Sprzedawca – Kasjer I Garażowa 5,Biedronka (Jeronimo Martins Polska S.A.),4 400–4 700 zł brutto / mies.,4 400,4 700,False,True,,,"Warszawa, Mokotów",Pracownik fizyczny,"Pełny etat, Część etatu",Umowa o pracę,Szukamy wielu kandydatów
7,"https://www.pracuj.pl/praca/specjalista-ds-sprzedazy-doradca-techniczno-handlowy-jozefow-pow-otwocki-marszalka-jozefa-pilsudskiego-25,oferta,1002995432",Specjalista ds. sprzedaży - Doradca techniczno-handlowy,ABUD Sp. z o.o.,,,,,False,,,Józefów (pow. otwocki),Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz
8,"https://www.pracuj.pl/praca/sprzedawca-kasjer-i-przewodowa-22-warszawa-przewodowa-22,oferta,1002990690",Sprzedawca – Kasjer I Przewodowa 22,Biedronka (Jeronimo Martins Polska S.A.),4 400–4 700 zł brutto / mies.,4 400,4 700,False,True,,,"Warszawa, Wawer",Pracownik fizyczny,"Pełny etat, Część etatu",Umowa o pracę,Szukamy wielu kandydatów
9,"https://www.pracuj.pl/praca/sprzedawca-kasjer-i-zlotej-wilgi-2-warszawa-zlotej-wilgi-2,oferta,1002990689",Sprzedawca – Kasjer I Złotej Wilgi 2,Biedronka (Jeronimo Martins Polska S.A.),4 400–4 700 zł brutto / mies.,4 400,4 700,False,True,,,"Warszawa, Praga-Południe",Pracownik fizyczny,"Pełny etat, Część etatu",Umowa o pracę,Szukamy wielu kandydatów
10,"https://www.pracuj.pl/praca/sprzedawca-kasjer-i-marywilska-44-warszawa-marywilska-44,oferta,1002990688",Sprzedawca – Kasjer I Marywilska 44,Biedronka (Jeronimo Martins Polska S.A.),4 400–4 700 zł brutto / mies.,4 400,4 700,False,True,,,"Warszawa, Białołęka",Pracownik fizyczny,"Pełny etat, Część etatu",Umowa o pracę,Szukamy wielu kandydatów
11,"https://www.pracuj.pl/praca/sprzedawca-kasjer-i-zwyciezcow-40-warszawa-zwyciezcow-40,oferta,1002990687",Sprzedawca – Kasjer I Zwycięzców 40,Biedronka (Jeronimo Martins Polska S.A.),4 400–4 700 zł brutto / mies.,4 400,4 700,False,True,,,"Warszawa, Praga-Południe",Pracownik fizyczny,"Pełny etat, Część etatu",Umowa o pracę,Szukamy wielu kandydatów
12,"https://www.pracuj.pl/praca/sprzedawca-kasjer-i-czarodzieja-28-warszawa-czarodzieja-28,oferta,1002990686",Sprzedawca – Kasjer I Czarodzieja 28,Biedronka (Jeronimo Martins Polska S.A.),4 400–4 700 zł brutto / mies.,4 400,4 700,False,True,,,"Warszawa, Białołęka",Pracownik fizyczny,"Pełny etat, Część etatu",Umowa o pracę,Szukamy wielu kandydatów
13,"https://www.pracuj.pl/praca/sprzedawca-lada-tradycyjna-i-modlinska-347-warszawa-modlinska-347,oferta,1002990685",Sprzedawca-Lada Tradycyjna I Modlińska 347,Biedronka (Jeronimo Martins Polska S.A.),4 400–4 700 zł brutto / mies.,4 400,4 700,False,True,,,"Warszawa, Białołęka",Pracownik fizyczny,"Pełny etat, Część etatu",Umowa o pracę,Szukamy wielu kandydatów
14,"https://www.pracuj.pl/praca/dyrektor-sprzedazy-wroclaw-strzegomska-42b,oferta,1002972125",Dyrektor sprzedaży,AMIWON sp. z o.o.,9 800–30 000 zł / mies. (zal. od umowy),9 800,30 000,False,False,,,"Wrocław, Fabryczna",Dyrektor,Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz
15,"https://www.pracuj.pl/praca/sprzedawca-kasjer-i-warszawska-101-konstancin-jeziorna-warszawska-101,oferta,1003001695",Sprzedawca - Kasjer I Warszawska 101,Biedronka (Jeronimo Martins Polska S.A.),4 400–4 700 zł brutto / mies.,4 400,4 700,False,True,,,"Konstancin-Jeziorna, Klarysew",Pracownik fizyczny,"Pełny etat, Część etatu",Umowa o pracę,Praca od zaraz
16,"https://www.pracuj.pl/praca/sprzedawca-kasjer-i-przekorna-52-wilanow-warszawa-przekorna-52,oferta,1003001694",Sprzedawca - Kasjer I Przekorna 52 (Wilanów),Biedronka (Jeronimo Martins Polska S.A.),4 400–4 700 zł brutto / mies.,4 400,4 700,False,True,,,"Warszawa, Wilanów",Pracownik fizyczny,"Pełny etat, Część etatu",Umowa o pracę,Praca od zaraz
17,"https://www.pracuj.pl/praca/starszy-sprzedawca-kasjer-i-karczunkowska-139a-ursynow-warszawa-karczunkowska-139,oferta,1003001692",Starszy Sprzedawca-Kasjer I Karczunkowska 139A (Ursynów),Biedronka (Jeronimo Martins Polska S.A.),4 400–5 100 zł brutto / mies.,4 400,5 100,False,True,,,"Warszawa, Ursynów",Pracownik fizyczny,"Pełny etat, Część etatu",Umowa o pracę,Praca od zaraz
18,"https://www.pracuj.pl/praca/sprzedawca-karpia-w-markecie-spozywczym-wroclaw-tyniecka-3,oferta,1003001139",Sprzedawca karpia w markecie spożywczym,BeFlexi Sp. z o.o.,31 zł brutto / godz.,31,,False,True,,,"Wrocław, Fabryczna",Pracownik fizyczny,"Pełny etat, Dodatkowa / tymczasowa",Umowa zlecenie,Praca od zaraz
19,"https://www.pracuj.pl/praca/sprzedawca-kasjer-i-bronowska-13-warszawa-bronowska-13,oferta,1003015217",Sprzedawca – Kasjer I Bronowska 13,Biedronka (Jeronimo Martins Polska S.A.),4 400–4 700 zł brutto / mies.,4 400,4 700,False,True,,,"Warszawa, Wawer",Pracownik fizyczny,"Pełny etat, Część etatu",Umowa o pracę,Szukamy wielu kandydatów
20,"https://www.pracuj.pl/praca/sprzedawca-lada-tradycyjna-i-bukowinska-22-mokotow-warszawa-bukowinska-22,oferta,1003001691",Sprzedawca-Lada Tradycyjna I Bukowińska 22 (Mokotów),Biedronka (Jeronimo Martins Polska S.A.),4 400–4 700 zł brutto / mies.,4 400,4 700,False,True,,,"Warszawa, Mokotów",Pracownik fizyczny,Pełny etat,Umowa o pracę,Praca od zaraz
